document_id,tags_text
6242b9bd9a79474a4ab85170SEWyxNvTSXiNJgfA6zZX5Q,"['Роман Абрамович', 'Реджеп Тайип Эрдоган', 'Турция', 'Украина', 'переговоры', 'Стамбул']"
620accb49a79473629b5a24fXOaBZsa7REWPLgabe-i3EA,"['младенец', 'Москва', 'прокуратура']"
61fbe0cf9a794781656186340YrCSHXGT3qhE37LE7pZ0A,"['Сайди Янгулбаев', 'Чечня']"
627cf09c9a79470a617cab29S54kGOf1RF6MthSv7DnJkA,"['Роскомнадзор', 'архив', 'запрещенный контент', 'Интернет']"
61fe6b439a7947d1bef8f519o5rO-DSoSXih4FstmLbGEA,"['коронавирус', 'тесты', 'COVID-19']"
6272a20a9a79472f9e06a6171eMo7z4rSbyUqJ8CmRn_OQ,"['Греция', 'Кипр', 'Мальта', 'эмбарго на поставки нефти', 'судоходство']"
6242d49c9a794757c6060a2dzErVj-zhRKujsta2EMvduA,"['Сергей Шойгу', 'Минобороны', 'весенний призыв', 'призывники', 'срочная служба']"
620ba09e9a79477e6c9759418J3aqa4CTb22Ccsb69BLaA,"['учения', 'Сирия', 'Средиземное море', 'Минобороны', 'МиГ-31', 'Ту-22М3']"
6285f5f59a7947c3b2a8a633mx7ro2gAQs-Tk3O4cA-nEA,"['Дмитрий Медведев', 'дефолт', 'санкции']"
6291024d9a7947525314e8eclvVdJRH1QHOmGq4O-wfRLg,"['Афганистан', 'Талибан', 'Панджшерское ущелье', 'Ахмад Масуд']"
620373b99a7947d1ef83e0dc0GrX5MFJR3WLzXKvgDNfYQ,"['Украина', 'Россия', 'НАТО', 'Германия', 'Франция', 'Польша']"
62006d819a79474bf60f7e30l_p8Y0wrQS62brHwBRQSuw,"['законопроект', 'Госдума', 'самооборона', 'незаконное проникновение']"
6260fd8c9a79476a0ec6429cuoAF6odiR6mOkJHU0Ccu-g,"['переговоры', 'Россия', 'Украина']"
6278383b9a79473e72e74cc2LahMlzNgTX2NIpfbBN5FAg,"['Дмитрий Рогозин', 'Роскосмос', 'YouTube']"
6280aff09a79479bd4248a75bTL_EABbTOOFv0cnkvMGYw,"['Минобороны', 'Украина', 'С-300']"
620293e59a7947947adda5fexMxkWattR_ewhI94MWFjLg,"['«Металлоинвест»', 'Усманов', 'суд', 'шантаж']"
620ed6909a794742ae555982moNQgUFBThGnzHThdjnZ4Q,"['Владимир Путин', 'Нацгвардия', 'Вооруженные силы России', 'ФСИН', 'СК', 'противопожарная служба', 'генералы']"
620662e39a79476def111924AM6L3b67QveW7bf4kmmnDw,"['Союзное государство', 'Денис Пушилин', 'Украина']"
626296869a7947044b196e4cZ7GzXpi2TV6UZ8v8Pkmvwg,"['Эмманюэль Макрон', 'ЕС', 'Франция', 'газ', 'Россия']"
61ff02d69a7947f5f9b72709cjnL4V-aT26UI7UwXLvprA,"['Великобритания', 'Елизавета II', 'монархия', 'принц Чарльз', 'Камилла Паркер-Боулз']"
62453b479a7947ab176efdbbGuvZJAXKREinJX6EgY4QQg,"['Сергей Лавров', 'Афганистан', 'Мария Захарова', 'переговоры']"
6257ef009a79479f871e14b5rDrQJ01kQVme-mlTXcBi7A,"['Минобороны', 'крейсер «Москва»']"
62011dde9a79470a7b59492dwTE1up1VQpyuiIiGgPpTEg,"['Владимир Путин', 'Эмманюэль Макрон', 'переговоры']"
61fbf0de9a794702a16d2b4eYhZV7apVTEebb5F6J7g0hQ,"['Белоруссия', 'Роман Протасевич', 'Светлана Тихановская', 'Ryanair']"
626141aa9a79478baac36310axq32Pf4Qei85bGxXF6tIQ,"['Эмманюэль Макрон', 'Марин Ле Пен', 'Франция', 'выборы президента', 'второй тур', 'Военная операция на Украине']"
624196f79a7947ec89cfe944YTrr_aOFQwWqUGsFBoPnEA,"['Германия', 'газ', 'нефть', 'энергоносители']"
61ffbd979a7947211d5e843cQGP4RW9HQySMPQX_c84uAg,"['Франция', 'Владимир Путин', 'Эмманюэль Макрон', 'Украина']"
6200aef59a79475cde3d45b1xUA5jM7dRY2btWp8NlJjBQ,"['Астраханская область', 'чиновники', 'уголовное дело', 'халатность', 'собаки', 'Генеральная прокуратра']"
626f94179a794760fb21ef48goh2kxxhT7iOdt4dPr7TTQ,"['Сергей Лавров', 'Израиль', 'Адольф Гитлер', 'вызов посла']"
6241fe869a7947196eebe230I7CQmuMcRNWZWaeEJ-iaQA,"['космос', 'космонавтика', 'NASA', 'МКС']"
625bc1879a7947412d129393NeGwJW5eToS8p1o8-K-Z3w,"['Сбербанк', 'мошенники', 'мобильные приложения']"
620638619a79475745883785QX3ri5AGRwSO2QWZRYCWqg,"['Минздрав', 'длинные очереди', 'поликлиника', 'медицинская помощь', 'COVID-19', 'коронавирус', 'медицина']"
625eed169a7947458e7ccadeGPFu-iP8S321gFGlbKvF5A,"['Минобороны', 'Донбасс']"
620e17d19a794770b70ca6baaRK06pENQ7yooMS56pK40Q,"['Дмитрий Песков', 'Донбасс', 'обострение']"
6275d53e9a7947b64e3801950WIzoSRKTI-ucRb74z9o3w,"['Дональд Трамп', 'Джо Байден', 'Владимир Путин', 'Украина']"
62625ad09a7947e79437924dHwq5hSQzQy-2-638VDyLvw,"['AB InBev', 'продажа', 'российский бизнес', 'пиво']"
620e76929a794722c54610f42XAS0ioMREyveEsT3UrIUw,"['Сергей Лавров', 'Энтони Блинкен', 'переговоры']"
629144df9a7947662efa1119b0vVxmKKQ8CdsHUWdWz8oA,"['донор', 'Техас', 'стрельба', 'США']"
6240c7529a7947a50b4beebct2c5U-9STW6C76ZIoRQxhQ,"['Мевлют Чавушоглу', 'Турция', 'Сергей Лавров', 'телефонный разговор', 'Украина']"
6260acd29a7947502d49b706rbM24mg5SJCTPn5RyaTg0g,"['Военная операция на Украине', 'МИД', 'Украина', 'НАТО']"
629260379a79471c5350326dztM7xnnrTfK3DADAm_4Efw,"['Шри-Ланка', 'нефть', 'Россия', 'импорт']"
6269f47f9a794740b2dbe06f6py29F8SQeS1EtSRcYQmSw,"['Венгрия', 'российский газ', 'рубли']"
620118a09a79470829d83b70GXVZPmpfReeD8eF2qnVTVw,"['Эмманюэль Макрон', 'Владимир Путин', 'переговоры', 'Украина']"
620bc3409a7947965dcf1414sBki_0BPT8aG3_GqzSzIqw,"['Жозеп Боррель', 'Евросоюз', 'Госдума']"
62737f069a79476b56cde307Dr3M_FLLSNCsxZEG8aUC-w,"['ребенок', 'Татарстан', 'проволока', 'хлеб', 'батон', 'новости']"
62013ed19a79471a8cf48384AKepbabfQ3-AdoarK3nC8Q,"['Эмманюэль Макрон', 'Владимир Путин', 'переговоры']"
626b5e209a7947c07430127cXRwOwFGxT1m9VDCql2DrzA,"['Британские Виргинские острова', 'премьер-министр', 'Великобритания', 'Лиз Трасс', 'легкие наркотики', 'задержание']"
61f8c7f99a794748261d721bLf9vuj54Q1OELY36gRVg9Q,"['Дети', 'Новгородская область', 'волонтеры']"
627ce44b9a79470443716b26filN1zt2RJKwI9qSWxQJdw,"['МИД', 'Нидерланды', 'посол']"
626b4bfd9a7947bf5dc0cccbY0EZjr_ZQteGPJATt8fIeA,"['гостиничный бизнес', 'отели', 'управление']"
6291e0279a794784d0e55acaVTq-rLa3QZigBSFbnNFnRQ,"['Красный Лиман', 'Минобороны', 'Военная операция на Украине']"
624471ea9a794775bca0df1eSBSBT-W3QpGWQ1N_gaPDFw,"['Украина', 'Киев', 'Чернигов', 'Игорь Конашенков', 'Минобороны']"
6253df9f9a7947a90eec4174wRh41WweQqGtgG9TMJFqjg,"['ЕС', 'эмбарго на поставки нефти', 'нефть']"
620bf2989a7947a8ca5973fdsWRxiJ-5SaiVuJKfRm5hBw,"['Мария Захарова', 'Украина', 'Великобритания']"
6250834e9a794766c1cf674d8Z9lceuMRdGJn2X2ToSucQ,"['Венгрия', 'Евросоюз', 'санкции', 'рубль', 'Урсула фон дер Ляйен']"
620776949a7947bec14e9350_gDRAA-MQnm6hUu1ZXZoLQ,"['Украина', 'МИД', 'посольство']"
6267c3849a7947f9a76a8326ZHr1365cRwesE1BO1cTSTw,"['Адам Делимханов', 'Герой России', 'звание', 'Владимир Путин', 'Военная операция на Украине']"
628b6bb49a7947d11b795b6eYnykxb96T9aSgKbEHNujgQ,"['Tetra Pak', 'упаковка']"
620bba399a794790a44eb566Mg9gseHFRoSB9CJfoOsXvQ,"['Владимир Путин', 'Олаф Шольц', 'Госдума', 'Германия']"
626a79cb9a794771ae19c57bXtQdZsMCSH6Z_Wa71L6zGg,"['Реджеп Эрдоган', 'Владимир Путин', 'Россия', 'Турция', 'переговоры', 'Стамбул']"
6239732a9a7947b19a5ef895mB5HO6btRoKY8lCAgUinLg,"['Red Wings', 'Airbus', 'SSJ 100', 'авиакомпания', 'самолет']"
62485d149a79473eabd27d782w5kAmq_RAizTs_8SAmPBQ,"['Азербайджан', 'Италия', 'Ильхам Алиев', 'Южный газовый коридор']"
6284cdc09a794764853230c6qqBl_VdlSCeH9aMUpCtbMQ,"['Аэрофлот', 'санкции', 'мошенничество', 'Военная операция на Украине', 'суд', 'арест']"
624fbbd39a79470c8a5ebe6b85o_o-7ER_2pYp2aQOhY1Q,"['Белоруссия', 'список недружественных стран']"
620e4d689a794708e7339623zDcqpUpyQj2YcgPMLE8dRA,"['Приморье', 'Дальний Восток', 'города-миллионники', 'Олег Кожемяко']"
624380cb9a79471d24aee516gaD0xwB6Q1OO6z9j2HHKXQ,"['погибшие', 'мирные жители', 'Украина', 'Военная операция на Украине']"
627c2c669a7947c683c9fd9d_ZdPAOQgR9K89PsreuEMCA,"['Центробанк', 'курс рубля', 'Инфляция', 'цены', 'ЦБ']"
6286b4879a7947118970042e3AjpiyoAQZKmXnOO_YQjxw,"['Санкт-Петербург', 'извинения', 'учителя', 'образование в России']"
627fdc219a79476ea0d8b20cZgRePe69Ql-A2U9y7ir0Rw,"['Канада', 'зерно', 'Украина']"
62837d849a7947756f42d833NAR6xjdlSUa9Hq9kXfOmcA,"['страхование жизни', 'Инвестиции']"
6200bd0d9a794761c17fb3438yfhtCtGSYKv3Kg-xuAf1A,"['Мария Захарова', 'МИД', 'США', 'Великобритания', 'ЕС', 'Украина']"
6200d5339a79476c63afde6bHcV2r3OnQAO1NA8EhD8m4Q,"['Bloomberg', 'Эмманюэль Макрон', 'Франция', 'Украина', 'гарантии безопасности']"
624541149a7947ad1f5ea323imCcFPabQaCPM83FylFKQA,"['Авито', 'услуги', 'потребительские настроения', 'заказы']"
62727d3d9a79471fd0ec25ce63dH9Yk4SPeCoHxeaMIMFA,"['Армения', 'митинг', 'парламент', 'Никол Пашинян', 'отставка']"
6238c43c9a794787e7dfa4c3VutA0piMSeWWi_uvq921UA,"['Владимир Зеленский', 'Украина', 'Референдум', 'переговоры', 'Военная операция на Украине']"
61fabb499a7947194b7ac2dbXIDTflVsRiW8S7lilkXgRA,"['Германия', 'Russia Today', 'СМИ', 'Deutsche Welle', 'санкции', 'YouTube']"
627a51b19a794735766613caqCvfQcJeRXuKqzkVgO2NAw,"['Александр Лукашенко', 'Белоруссия', 'гособоронзаказ', 'вооружение']"
623e5c6b9a7947199c5e8030DvXQdLbyQt6kde7uFf6xXA,"['Венгрия', 'Чехия', 'Военная операция на Украине']"
6293c7a19a79476e99870dd7VCw7wJgfTKyFEL4JwVcXSQ,"['США', 'Минюст США', 'Техас', 'стрельба в школе']"
626a60da9a7947669c7eced7ZpPN__CUQpy1RXQaRN51Kw,"['табачная продукция', 'Игорь Кесаев', 'Меркурий', 'дистрибуция']"
628f53d69a7947ab65a83523GMCchTE_SSKRZR_4ASB9lQ,"['Курская область', 'село', 'хлопок', 'атака', 'Роман Старовойт', 'Украина', 'спецоперация']"
624a841b9a7947bdf10306cbW9ylHdJRQSuXKHxSNI-dRw,"['Германия', 'высылка дипломатов']"
6239f5459a7947f0c02df94eOsb5ubxuScKWNP-6lZrT1w,"['Рособрнадзор', 'школы', 'перенос']"
628756239a79474336b276102aH8kKAYRDSlmB_ovMniNg,"['Ереван', 'протесты', 'Никол Пашинян', 'Трейси', 'оппозиция']"
624fe3bd9a79471df3f74539AwvC5h96QWSRkF-YFZJUDA,"['Андрей Турчак', 'Военная операция на Украине', 'Дмитрий Песков', 'потери']"
6267dd0f9a79470532e74ca8IdqKyFCMROe0S_IxKIEhwQ,"['переговоры', 'Россия', 'Украина', 'МИД', 'Андрей Руденко']"
6264b8469a79470782ddb54aZO8LllkVTmyqQNRaCmWCjg,"['Shell', '«Сахалин-2»', 'Сахалинская область', 'Газпром']"
624d67e39a79473f80106561xOPMj51UQuuc8fQHatNcXA,"['Владимир Жириновский', 'Госдума', 'минута молчания']"
61ff88119a794712318c4e6dNeNwsIOjSCmcLIPlKJS4DQ,"['инициатива', 'иностранные компании', 'обороноспособность', 'арматура']"
626ab6d39a79479194e49763uy0ZMKUgRMC9NxvMYuYLFA,"['Олег Тиньков', 'Пенсия', 'Тинькофф Банк']"
624093a39a79479b33f6cdd6RBXIuU2nQqmAxPsF-_K0Rg,"['Владимир Зеленский', 'интервью', 'Военная операция на Украине', 'прокуратура']"
626a51d99a79475e1c8e30e1k9Or9Ug4TD2DrqerLAds_Q,"['санкции ЕС', 'колбаса', 'сосиски', 'Черкизово']"
624c053e9a794748be8f12d5oCy1OhzSTry308cvU0NyrQ,"['Facebook', 'ФССП', 'штраф']"
62746a9e9a7947407f6bbba2u92h9ROoSR-Sl40cqCpWyQ,"['KFC', 'франшиза', 'санкции', 'продажа бизнеса']"
62023fd99a7947694188e29eVcDjrQJGTlG98hDLOdhN1w,"['Владимир Путин', 'Украина', 'Эмманюэль Макрон']"
623cbeb79a7947145b406c43AE8xM3XOQty1LF-rpCnLQw,"['Канада', 'санкции', 'Совфед']"
62589ecc9a7947e7931eb38a57imTekmQYy5Ejp7rssfBw,"['Лев Шлосберг', '«Яблоко»', 'Вооруженные силы России', 'КоАП']"
61fd8eff9a79479aef9850d0RmV_SGh9SJWL5pZCRPfX-A,"['Роскомнадзор', 'Телеканал RT', 'ограничения', 'YouTube']"
624307ce9a7947764747789aYswtgNHoSvisUm8oAvzNOA,"['Наталья Поклонская', 'Украина', 'урегулирование', 'выбор', 'обращение']"
62418a159a7947e5f30dc14fd_9Wf9JoQPGkY2vWArOA2w,"['переговоры', 'Стамбул', 'Россия', 'Украина', 'Военная операция на Украине']"
6274cf7b9a79475f55257773GM5w2-LRSgaiVjJ7mqCaoQ,"['Украина', 'Азовсталь', 'эвакуация', 'ООН', 'ДНР']"
620531b19a7947861d59cf1daXbQ4O1ARDKsWA7dCwbpnA,"['Росстат', 'Доходы населения', 'статистика', 'реальные располагаемые доходы']"
625d583b9a7947b441359a44Hr32kIeuREWN82dSnHUPNw,"['Зарплаты', 'бюджетники', 'индексация', 'Владимир Путин']"
62846f499a79473c076bbc8166nEEqv8SQykz_QNFjd0oQ,"['Белгородская область', 'Вячеслав Гладков', 'обстрел', 'Военная операция на Украине']"
62586d749a7947d9bfe69588z_KVXohfS6eULr7r16CZyQ,"['Джо Байден', 'Украина']"
626818409a794724e5854feb7iTFIs7mTFWUqmxgwo83mw,"['НАТО', 'Хорватия', 'Швеция', 'Финляндия']"
625457159a7947ec7b104b2ctHummTxjSc2mG9xiB0ceOg,"['Nordgold', 'Золото', 'Буркина-Фасо']"
620517899a79477a47a15952XU0sHG5LRs2C7u2zt_HR_A,"['устрицы', 'мидии', 'Крым', 'Краснодарский край']"
623aee679a79473f14281240Dd2iw8x3QwyFsxwT7qsyTQ,"['Дмитрий Песков', 'G20', 'Владимир Путин', 'саммит G20', 'Индонезия']"
6249b1369a79478d3be453b8MK6v4ntiQ-2Duhg-TYNMLA,"['Госдепартамент США', 'Энтони Блинкен', 'антироссийские санкции']"
6200733b9a79474d3780c580xvjgTGNhSfKiB-8uTlWDEw,"['зумеры', 'работа', 'работодатели', 'Опрос']"
620bacbd9a7947891dd22e71Ydp6TvlAR32z4yAHRAGtWQ,"['Сирия', 'истребители', 'ВКС России', 'гиперзвуковые ракеты']"
628b0a109a79479f637e97d1XhGUoJqLTqqg9kMjZBw17g,"['Москва', 'здравоохранение', 'цифровизация', 'Дети', 'медкарты', 'новорожденные', 'Анастасия Ракова']"
6200a92a9a794758adda712dTJsNiBWrRvanw2aGM8VaRw,"['Генпрокуратура', 'нарушения', 'зоопарки', 'цирк', 'приют для животных', 'животные', 'жестокое обращение с животными']"
623976d09a7947b3096e909fuNqZ--CkRQGJYZk5LvgVGg,"['яхты', 'Финляндия', 'санкции', 'олигархи']"
61fce6eb9a79474c7407524eWk03CaocTCq8Z5Q4rihWvQ,"['Крым', 'покушение на убийство', 'подростки']"
626f23669a794745757235fbYccebi0ATkyBqrQgX1eTCQ,"['Белгородская область', 'Вячеслав Гладков', 'Белгород']"
6204f48b9a7947641c164380iZtngV_FS-6fNa7VAdJ6_w,"['Владимир Путин', 'Казахстан', 'протесты']"
62080d1d9a7947e610df78f5WhnSt6c6Rte6OxMzObqRdg,"['ВВС Великобритании', 'Румыния', 'воздушное патрулирование']"
624014cd9a79477b94987e19mSP-eWSgSHSkOm5eKRDXtw,"['Афганистан', 'Талибан', 'парки']"
624e35ce9a79478615f7ec81srh8P_FMQo2LkqrT9f2bpw,"['Анатолий Антонов', 'США', 'санкции', 'Сбербанк', 'Альфа-Банк']"
6291e05d9a794785ac30f209v9jxuEn5SFKS-OEKgTvWtw,"['Дмитрий Рогозин', 'российский буксир', 'ядерное вооружение', 'космос', 'Роскосмос']"
61f8bbea9a79474667d77d00SN4AwPo8RdW7k250-e_iBw,"['Ипотека', 'ипотечные ставки', 'Сбербанк']"
6245a7179a7947dfb535a13b81VndbXwTjGn9swT-w1DCw,"['туризм', 'Дмитрий Чернышенко']"
623cc3239a794715f2aa122cO10Opy4GRvuXZOSfJM4K6g,"['НАТО', 'Джо Байден', 'Владимир Путин']"
626e51bf9a79471805bd0914j1Uo5BCEQBmP_cPLIUgJBA,"['Вертолет Ми-8', 'жесткая посадка', 'Забайкальский край', 'происшествия']"
6271cf499a7947d7acd6da277D5ThRldTRe78S5oKCNBTg,"['Германия', 'пиво', 'пивоваренные заводы']"
62681d5c9a79472689e4d0812iyyDyDRRQyyOCVESSwHcg,"['Жозеп Боррель', 'ЕС', 'Россия', 'отношения']"
62604a929a79473b361096e24qd89QB7Q9mDnaq9ax-ykw,"['санкции', 'США', 'Россия']"
6267da2a9a794703415b593dVcozxMK9T5mnBeEfn7MmwA,"['оружие', 'Росгвардия', 'стрельба', 'детский сад', 'Ульяновская область']"
620107889a7947856082be67SseSYzejRl6EFpPog9ulPg,"['Газпром', 'поставки газа', 'Европа', 'Урсула фон дер Ляйен', 'Европейская Комиссия']"
6287b3729a79476e9d97fee9TVClUiVeT8C5mr5Qy7eQqw,"['Макдоналдс', 'Россия']"
625b785a9a79473318ee6f6dO_moYc5BTvqKay4Rn56idA,"['Олаф Шольц', 'Германия']"
620ab9b69a79472e044e4c04nRsWghFCStSi0aZCI-ZQ7w,"['Украина', 'Владимир Зеленский', 'вторжение']"
623734399a794702059fc406rUWewyipT5-pb5ajuKYP4Q,"['военное положение', 'Военная операция на Украине', 'Владимир Зеленский']"
625672259a7947133a6f0d9fSgq49vmhRN-uvOwR0phKSg,"['Александр Лукашенко', 'санкции', 'Белоруссия']"
6245d5939a7947f93839ad54x0H6gVTaRtCPakmvjPTmqw,"['самолеты', 'лизинг', 'российские авиакомпании', 'Владимир Путин']"
620b5c679a794758f8a36a433fS2nBZKSVOA43d1_cw1NQ,"['Инвестиции', 'Банк России', 'страхование', 'ЦБ']"
623846bd9a79474f7b575df63ePEzd9HSpuXApt8zpwPtA,"['Дмитрий Песков', 'нефть', 'эмбарго']"
6274c4469a79475aefcd492eekSHQsOhSKabQkgLb7o_Dw,"['Киргизия', 'Узбекистан', 'стрельба', 'пограничники']"
62804c3f9a794786f7ed6afaa7SCkYDeSb6SSXTMv9zuuQ,"['Джо Байден', 'дефицит бюджета', 'США', 'Инфляция']"
61fa178a9a7947c87ecdc16c1n20B78STmuBY5PpQhc1cw,"['Нурсултан Назарбаев', 'Совбез', 'парламент', 'Казахстан']"
6268d1d69a79475402c8f090VU3aafuiTlay_my1HmwsQw,"['Воронеж', 'ПВО', 'Александр Гусев']"
620e03e29a794765bd334e00FGqe-dYjTWetPRQ4XzryiQ,"['Великобритания', 'Россия', 'конкуренция']"
627cc9579a7947f67ac2e993WRhbmRh5QYK_zbtk7GNCDw,"['«Сбербанк»', 'ВЭБ', 'Украина']"
624daccb9a794761a18a7395QCY8NKWHTqysv2jYGw6hGA,"['санкции против России', 'МКБ', 'Сбербанк', 'Великобритания']"
6241a18b9a7947f136f9a0bbQuQ0xPZjQBG6biKYql-emw,"['Мариуполь', 'Военная операция на Украине', 'ДНР', 'Украина']"
620a53d79a79470355a92373gVwYKRtDQFWWSwpSBGVX5w,"['Украина', 'военные учения', 'Сергей Шойгу']"
61fbe2249a7947818e296b6abMdzClMARAmXrp6bUIzXgw,"['Маргарита Симоньян', 'Deutsche Welle', 'блокировка', 'Russia Today']"
625c354c9a79475d59f8e489If1zpVtgShyz0l-M8yIJiQ,"['Дмитрий Медведев', 'дефолт', 'Россия', 'Европа', 'Урсула фон дер Ляйен']"
624a08b39a7947a1b8169ae9QYJ-QPuKR6OzNYaEhrZ5Ug,"['Владимир Зеленский', 'Военная операция на Украине', 'Ангела Меркель', 'Николя Саркози']"
61fd45289a794783301d83d8CseC9JgsQY-hVXyGny4gZA,"['посольство России', 'Филиппины', 'Пожар']"
62786ce39a79474cc3160debxMqxRWQ_Rj2Rk9vQ5ykG0Q,"['Билл Гейтс', 'экономический спад']"
624713ca9a79477172e62c3empzNOtiFS_CfK3EYquL18A,"['Белгородская область', 'Вячеслав Гладков', 'взрывы']"
6287c5f59a7947761489c844bbZUnla2SRGjwa-g1RvLZQ,"['параллельный импорт', 'ФТС', 'санкции']"
61f90fbf9a79476ebe45654fvfPXan75RKS7EN1mfjUq0A,"['Грузия', 'COVID-паспорт', 'коронавирус']"
61fb6c7d9a79474418fca8eb6vxm7kc9Q7-mbeHSgzBWwQ,"['индексация пенсий', 'ПФР', 'выплаты', 'пенсии']"
6269186b9a794775507ac6d5Uhlcit9-RF2fljN3Uq8HQg,"['Великобритания', 'МИД', 'Россия', 'санкции', 'парламент']"
620bfc3a9a7947ac99ea1c2fBpKGH3jlRUCJ2kHbVpX9Lw,"['Джо Байден', 'Украина', 'Джен Псаки']"
62500edb9a7947322bf9855faxa0_yRXQVKS5aZ61jovsw,"['«Яндекс»', 'Роскомнадзор', 'предупреждение', 'Google']"
623d89c79a794750b9ae1ec37HBA4OzWRMaiugzl4fVupQ,"['Петр Авен', 'антироссийские санкции', 'Альфа-Банк', 'Великобритания', 'ЕС']"
626bb9b99a7947e8b3c9782esfXyYVb1RcGoMriPAanliQ,"['Индия', 'нефть', 'Россия', 'поставки', 'оплата', 'санкции', 'доллары']"
623bce8e9a7947080e9ef691pz3ujAbNRCCEplLt1Z2Jhw,"['формат', 'смерть', 'картинки']"
627e53c99a794709a6d329882NzrzvTiRk-ZyZAu-AfpUA,"['Польша', 'Украина', 'Россия', 'выплаты', 'ущерб', 'спецоперация']"
628ccbe49a79474ebcf99911TOKGlROlRI2otD1YJtiz-g,"['книги', 'Московский дом книги', 'ЛитРес', 'Минцифры']"
624854bb9a79473ce2ff6295h1PGpIF7SqqwI9uEtkJRJg,"['Джейк Салливан', 'посол США в России', 'гарантии безопасности', 'переговоры']"
6210657e9a7947cead85843fC7jGCGPLTCqyFph7Utu7ig,"['посол', 'Украина', 'ФРГ', 'Бундестаг']"
626328b99a7947364addd9c8Zu9z2GC9QCeyfuaUmyi5vg,"['параллельный импорт', 'Россия', 'Минпромторг']"
628e40f79a794756024610a2P-u1gPO0RXOiZPKHTf08Pw,"['пенсии', 'Владимир Путин']"
623c0b1e9a794718eb926b71psScatKHRBmbuv1iFfBInw,"['водительские права', 'ГИБДД', 'регистрация автомобилей', 'технические работы', 'МВД']"
624d3a299a794728b98c7eebczd_WuHOTu2J0c6Z3eLDHg,"['лекарства', 'санкции', 'Минздрав']"
624554129a7947b68af05838Va2CZswaTWawqqgBJ4jELQ,"['Южная Осетия', 'Северная Осетия', 'объединение', 'Анатолий Бибилов']"
6262b3ca9a794711d567e22ehqgcBV-uSQCPvsmrQOoTNA,"['Владимир Путин', 'Владимир Зеленский', 'переговоры']"
6290ebf19a794749327aac4cLyejEQSgS4m9Yk6ymHXNmg,"['Банк России', 'ЮниКредит', 'Интеза', 'Денежные переводы']"
620bf41c9a7947a95ab3d5a0p5KdgN3PRhiq-wMlOKgWKg,"['Сергей Шойгу', 'учения', 'Средиземное море']"
6210484b9a7947c7eb6ef7a8Krw2k0tDRki_BOhgx1lR3g,"['баллистические ракеты', '«Бастион»', 'Крым', 'Черноморский флот', 'учения']"
6205ad329a7947221f14adb6X1UX2QPpQzy9kdZpF7-LrA,"['Украина', 'Минобороны Украины', 'США', 'американское оружие', 'поставки оружия', 'Javelin']"
6264d3f39a79470c6a779c45zpl-TC_jTbeeyrh3G6UL3Q,"['Камчатка', 'российские моряки', 'рыболовецкое судно', 'Следственный комитет', 'уголовное дело']"
